Département - commune;Département;Population sans doubles comptes 1999;Département - commune;Département;Population sans doubles comptes 1999
80422;Hautvillers-Ouville;378;;;
80423;Havernas;375;;;
80424;Hébécourt;371;;;
80425;Hédauville;100;;;
80426;Heilly;399;;;
80427;Hem-Hardinval;278;;;
80428;Hem-Monacu;98;;;
80429;Hénencourt;193;;;
80430;Herbécourt;133;;;
80431;Hérissart;494;;;
80432;Herleville;99;;;
80433;Herly;48;;;
80434;Hervilly;204;;;
80435;Hesbécourt;65;;;
80436;Hescamps;434;;;
80437;Heucourt-Croquoison;101;;;
80438;Heudicourt;502;;;
80439;Heuzecourt;134;;;
80440;Hiermont;167;;;
80442;Hombleux;1 009;;;
80443;Hornoy-le-Bourg;1 449;;;
80444;Huchenneville;665;;;
80445;Humbercourt;279;;;
80446;Huppy;694;;;
80447;Hyencourt-le-Grand;81;;;
80449;Ignaucourt;82;;;
80450;Inval-Boiron;90;;;
80451;Irles;104;;;
80452;Jumel;368;;;
80453;Laboissière-en-Santerre;120;;;
80455;Lachapelle;51;;;
80456;Lafresguimont-Saint-Martin;445;;;
80458;Lahoussoye;325;;;
80459;Laleu;99;;;
80460;Lamaronde;68;;;
80461;Lamotte-Brebière;242;;;
80462;Lamotte-Buleux;288;;;
80463;Lamotte-Warfusée;513;;;
80464;Lanchères;834;;;
80465;Languevoisin-Quiquery;211;;;
80466;Lanches-Saint-Hilaire;109;;;
80467;Laucourt;193;;;
80468;Laviéville;134;;;
80469;Lawarde-Mauger-l'Hortoy;132;;;
80470;Léalvillers;166;;;
80472;Lesboeufs;151;;;
80473;Liancourt-Fosse;231;;;
80474;Licourt;390;;;
80475;Liéramont;182;;;
80476;Liercourt;320;;;
80477;Ligescourt;194;;;
80478;Lignières;121;;;
80479;Lignières-Châtelain;284;;;
80480;Lignières-en-Vimeu;107;;;
80481;Lihons;377;;;
80482;Limeux;129;;;
80484;Liomer;370;;;
80485;Loeuilly;809;;;
80486;Long;624;;;
80487;Longavesnes;104;;;
80488;Longpré-les-Corps-Saints;1 561;;;
80489;Longueau;5 220;;;
80490;Longueval;248;;;
80491;Longuevillette;60;;;
80493;Louvencourt;264;;;
80494;Louvrechy;162;;;
80495;Lucheux;568;;;
80496;Machiel;171;;;
80497;Machy;109;;;
80498;Mailly-Maillet;604;;;
80499;Mailly-Raineval;195;;;
80500;Maisnières;505;;;
80501;Maison-Ponthieu;278;;;
80502;Maison-Roland;109;;;
80503;Maizicourt;171;;;
80504;Malpart;59;;;
80505;Mametz;165;;;
80507;Marcelcave;977;;;
80508;Marché-Allouarde;77;;;
80509;Marchélepot;419;;;
80511;Marestmontiers;77;;;
80512;Mareuil-Caubert;890;;;
80513;Maricourt;145;;;
80514;Marieux;82;;;
80515;Marlers;147;;;
80516;Marquaix;210;;;
80517;Marquivillers;161;;;
80518;Martainneville;343;;;
80519;Matigny;511;;;
